,demand
2004-02-11 00:00:00,0.009653518289108197
2004-02-11 01:00:00,0.006992829801058104
2004-02-11 02:00:00,0.006973704102610852
2004-02-11 03:00:00,0.007670945693304207
2004-02-11 04:00:00,0.012271541222682793
2004-02-11 05:00:00,0.013018063332859688
2004-02-11 06:00:00,0.027245599867389437
2004-02-11 07:00:00,0.03152143246342647
2004-02-11 08:00:00,0.03379359278936744
2004-02-11 09:00:00,0.03922296824774003
2004-02-11 10:00:00,0.04123659642531208
2004-02-11 11:00:00,0.04051807148658178
2004-02-11 12:00:00,0.04385368044518491
2004-02-11 13:00:00,0.04386844059698079
2004-02-11 14:00:00,0.05193618700116322
2004-02-11 15:00:00,0.045582805595535264
2004-02-11 16:00:00,0.05756153482994064
2004-02-11 17:00:00,0.07443880041083255
2004-02-11 18:00:00,0.0802971018861561
2004-02-11 19:00:00,0.0819318083344408
2004-02-11 20:00:00,0.08132440900339606
2004-02-11 21:00:00,0.07140573742899811
2004-02-11 22:00:00,0.05465587444374404
2004-02-11 23:00:00,0.04302475630218641
2004-02-12 00:00:00,0.0028290108797640384
2004-02-12 01:00:00,0.005421968366523183
2004-02-12 02:00:00,0.008827423785973239
2004-02-12 03:00:00,0.009587509103564039
2004-02-12 04:00:00,0.011241919451410778
2004-02-12 05:00:00,0.015995418421590395
2004-02-12 06:00:00,0.030174038811362845
2004-02-12 07:00:00,0.036157311320953824
2004-02-12 08:00:00,0.03661611503302356
2004-02-12 09:00:00,0.043494751045222
2004-02-12 10:00:00,0.043161149276702546
2004-02-12 11:00:00,0.04512510161352477
2004-02-12 12:00:00,0.04319223725374167
2004-02-12 13:00:00,0.051392805973858625
2004-02-12 14:00:00,0.06209614860214436
2004-02-12 15:00:00,0.06852330024762808
2004-02-12 16:00:00,0.07562178106201381
2004-02-12 17:00:00,0.06944568075320941
2004-02-12 18:00:00,0.06791842306390973
2004-02-12 19:00:00,0.07243353356786587
2004-02-12 20:00:00,0.06897879230739971
2004-02-12 21:00:00,0.05296906637244983
2004-02-12 22:00:00,0.043715890765851084
2004-02-12 23:00:00,0.035080622920312554
2004-02-13 00:00:00,0.007322431148494639
2004-02-13 01:00:00,0.0060418993792194665
2004-02-13 02:00:00,0.005099834757299774
2004-02-13 03:00:00,0.012412887475614458
2004-02-13 04:00:00,0.015535783115498405
2004-02-13 05:00:00,0.015450746084421377
2004-02-13 06:00:00,0.019952229688781704
2004-02-13 07:00:00,0.026964607676006763
2004-02-13 08:00:00,0.031351195385058706
2004-02-13 09:00:00,0.0324289516214574
2004-02-13 10:00:00,0.03499881489412634
2004-02-13 11:00:00,0.03759334984312272
2004-02-13 12:00:00,0.03854193526068076
2004-02-13 13:00:00,0.04598346955931795
2004-02-13 14:00:00,0.044540331232173345
2004-02-13 15:00:00,0.04958217911183459
2004-02-13 16:00:00,0.0680681302175647
2004-02-13 17:00:00,0.0795675094213627
2004-02-13 18:00:00,0.07874145645134022
2004-02-13 19:00:00,0.0835646319483431
2004-02-13 20:00:00,0.0849613784308207
2004-02-13 21:00:00,0.07674767098749892
2004-02-13 22:00:00,0.058404265405903426
2004-02-13 23:00:00,0.04614431090405785
2004-02-14 00:00:00,0.0039793384914480635
2004-02-14 01:00:00,0.0014145221309826894
2004-02-14 02:00:00,0.0017621714586175405
2004-02-14 03:00:00,0.010092185270863679
2004-02-14 04:00:00,0.013855331370331172
2004-02-14 05:00:00,0.015276661267945869
2004-02-14 06:00:00,0.02827252294493687
